# index cotheta theta phi
0.0000e+00 1.0030e+00 9.2001e-01 7.2721e-01
1.0000e+00 2.7975e-01 7.9739e-01 4.0720e+00
2.0000e+00 1.1988e+00 7.3642e-01 1.8360e+00
3.0000e+00 9.6213e-01 8.9902e-01 3.2896e+00
4.0000e+00 2.0220e+00 7.5299e-01 2.2773e+00
5.0000e+00 -4.9813e-02 1.2876e+00 4.6122e+00
6.0000e+00 3.6611e-01 6.5788e-01 1.0300e+00
7.0000e+00 7.2487e-01 1.0447e+00 3.1262e+00
8.0000e+00 6.8102e-01 3.3274e-01 4.6290e+00
9.0000e+00 5.9744e-01 1.0463e+00 2.2921e+00
1.0000e+01 6.1517e-01 7.2944e-01 6.0763e+00
1.1000e+01 5.0007e+00 9.1985e-01 1.7125e+00
1.2000e+01 2.0336e+00 1.3570e+00 1.4729e+00
1.3000e+01 8.2839e-01 5.4698e-01 3.1002e+00
1.4000e+01 4.5799e-01 5.9302e-01 1.9897e-01
1.5000e+01 2.4246e+00 1.2767e+00 1.8725e+00
1.6000e+01 1.8533e+00 1.0981e+00 2.0657e+00
1.7000e+01 4.3091e-01 7.5483e-01 2.7654e+00
1.8000e+01 7.4363e-01 1.1560e+00 1.6996e+00
1.9000e+01 2.1384e+00 7.2953e-01 2.1029e+00
2.0000e+01 1.7531e-01 5.9423e-01 2.9432e+00
2.1000e+01 -1.6311e+00 8.2853e-01 3.9953e+00
2.2000e+01 1.6868e+00 1.1583e+00 1.3958e+00
2.3000e+01 1.5364e+00 5.9403e-01 3.8720e+00
2.4000e+01 2.2331e+00 5.4701e-01 1.6137e+00
2.5000e+01 1.1468e+00 3.8535e-01 2.9451e+00
2.6000e+01 1.4529e+00 1.2318e+00 1.7682e+00
2.7000e+01 -2.7521e-01 1.2782e+00 5.0289e+00
2.8000e+01 2.5678e-01 4.5297e-01 3.5324e+00
2.9000e+01 2.7738e-01 8.7606e-01 3.2528e+00
